,电影名称,电影链接,导演,主演,评价人数,语言,制片国家/地区,类型,首播,图片链接,IMDb,片长,豆瓣评分,5星评价人数比例,4星评价人数比例,3星评价人数比例,2星评价人数比例,1星评价人数比例,剧情简介,短评数量
23,杀人回忆,https://movie.douban.com/subject/1300299/,['奉俊昊'],"['宋康昊', '金相庆', '金雷夏', '宋在浩', '边希峰', '高瑞熙', '柳泰浩', '朴努植', '朴海日', '全美善', '徐永嬅', '崔钟律', '刘承睦', '申贤宗', '李在应', '郑仁仙', '吴龙', '朴真宇', '朴泰京', '沈成宝']",638509,韩语 / 英语,韩国,"['剧情', '动作', '悬疑', '惊悚', '犯罪']",2003-05-02(韩国),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,353969,132分钟,8.9,53.60%,37.90%,7.70%,0.60%,0.20%,1986年，韩国京畿道华城郡，热得发昏的夏天，在田野边发现一具女尸，早已发臭。小镇警察朴探员（宋康昊饰）和汉城来的苏探员（金相庆饰）接手案件，唯一可证实的是这具女尸生前被强奸过。线索的严重缺乏让毫无经验的朴探员和搭档曹探员（金罗河饰）只凭粗暴逼供和第六感推断，几次将犯罪 嫌疑人屈打成招。而苏探员客观冷静，据理分析，几次排除嫌疑，警察内部为了证明与推翻矛盾不断，然而无辜女子还是接二连三被残忍杀害，他们只好达成共识一起合作。此时，一个极其符合作案特征的小青年（朴海日饰）成为最大嫌疑人，警方神经绷紧地锁定住他，同时DNA检测报告也被送往美国，然而案件并未在此处停止。,133108
24,动物世界,https://movie.douban.com/subject/26925317/,['韩延'],"['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈', '苏可']",521570,汉语普通话 / 英语,中国大陆,"['剧情', '动作', '冒险']",2018-06-29(中国大陆),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2525528688.jpg,7946836,132分钟,7.2,11.50%,44.00%,37.10%,5.80%,1.50%,在游戏机厅做着兼职“小丑”的郑开司（李易峰 饰），幼时父亲突然失踪，母亲重病住院，使得郑开司的生活非常拮据。发小“大虾米”（曹炳琨 饰）借口买房骗下了郑开司父亲留下的房产，还给他带来了巨额的欠债。神秘人物（迈克尔·道格拉斯 Michael Douglas 饰）出现，告诉郑开司，只要参加“命运号”游轮上的神秘游戏，就有机会偿还完所有欠款，一无所有的郑开司为了给青梅竹马的护士刘青（周冬雨 饰）和母亲更好的生活，只得登上游轮，开始了生存游戏，一场以“剪刀、石头、布”展开的生死较量即将登场……,178523
25,心灵捕手,https://movie.douban.com/subject/1292656/,['格斯·范·桑特'],"['马特·达蒙', '罗宾·威廉姆斯', '本·阿弗莱克', '斯特兰·斯卡斯加德', '明妮·德里弗', '卡西·阿弗莱克', '科尔·豪瑟', '约翰·迈顿', '丹·华盛顿', '艾莉森·福兰德', '维克·萨海', '史蒂文·科兹洛夫斯基', '斯科特·威廉姆·文特斯', '吉米·弗林', '乔治·普林普顿', '弗朗切斯科·克莱门特']",648999,英语,美国,['剧情'],1997-12-05(美国),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg,119217,126 分钟,8.9,55.20%,36.80%,7.30%,0.50%,0.10%,麻省理工学院的数学教授蓝波在席上公布了一道困难的数学题，却被年轻的清洁工威尔（马特·戴蒙 饰）解了出来。可是威尔却是个问题少年，成天和好朋友查克（本·阿弗莱特 饰）等人四处闲逛，打架滋事。当蓝波找到这个天才的时候，他正因为打架袭警被法庭宣判送进看守所。蓝波向法官求情保释，才使他免于牢狱之灾。,125024
26,烈日灼心,https://movie.douban.com/subject/24719063/,['曹保平'],"['邓超', '段奕宏', '郭涛', '王珞丹', '吕颂贤', '高虎', '白柳汐', '杜志国']",585220,汉语普通话,中国大陆,"['剧情', '悬疑', '犯罪']",2015-08-27(中国大陆),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2262236348.jpg,4079152,139分钟,8.2,31.60%,51.20%,15.60%,1.30%,0.30%,七年前，福建西陇发生一起惨绝人寰的灭门惨案，某别墅内一家五口同日惨死，在社会上引起极大的震动，然而此去经年，嫌疑人杨自道（郭涛 饰）、辛小丰（邓超 饰）、陈比觉（高虎 饰）却依然逍遥法外。现如今，这三个人都在厦门过活，杨当起了出租车司机，小丰加入了协警队伍，因意外变成傻子的陈则带着三人捡来的女孩尾巴栖息在亲戚的渔场中。这一天，拥有丰富办案经验的伊谷春（段奕宏 饰）调到小丰所在的队伍担任警长。伊颇为器重能力卓越的小丰，但嗅觉灵敏的他也隐隐觉出这个男子和当年的灭门惨案有所关联。在此期间，道哥在一次意外中结识了伊的妹妹小夏（王珞丹 饰）。仿佛冥冥之中有一只看不见的手，正将这三个决心重新做人的男人推向无法更改的结局……,153299
27,致命魔术,https://movie.douban.com/subject/1780330/,['克里斯托弗·诺兰'],"['休·杰克曼', '克里斯蒂安·贝尔', '迈克尔·凯恩', '丽贝卡·豪尔', '斯嘉丽·约翰逊', '大卫·鲍伊', '安迪·瑟金斯', '派珀·佩拉博', '萨曼塔·马霍林', '丹尼尔·戴维斯', '吉姆·皮多克', '克里斯托弗·尼姆', '马克·瑞安', '罗杰·里斯', '杰米·哈里斯', '罗恩·帕金斯', '瑞奇·杰', '安东尼·德·马克', '冀朝理']",787635,英语,英国 / 美国,"['剧情', '悬疑', '惊悚']",2006-10-17(罗马电影节),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,482571,130分钟,8.9,53.90%,37.50%,7.90%,0.60%,0.20%,19世纪末，人们对科学文明还不是认识得太过清楚，于是，安吉尔（休?杰克曼Hugh Jackman饰）和伯登（克里斯蒂安?贝尔Christian Bale饰）的魔术，成为了伦敦城内的神奇人物。安吉尔出身贵族，魔术手段华丽丰富，是富人圈子里的表演常客。而伯登即使出身平平，争强好胜的心智和充满创造力的魔术技巧，却也令他有了名气。两人自小本是要好的伙伴，然而，现在魔术界二人各有领地，并且都有野心想成为音乐大厅里的顶级魔术师，一番明争暗斗如箭在弦上。,155123
28,小姐,https://movie.douban.com/subject/25977027/,['朴赞郁'],"['金敏喜', '金泰梨', '河正宇', '赵震雄', '文素丽', '金海淑', '李龙女', '李东辉', '赵恩亨', '郑荷昙', '金仁宇', '金诗恩', '高木里奈']",390587,韩语 / 日语,韩国,"['剧情', '悬疑', '情色', '同性']",2016-05-14(戛纳电影节),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2355555424.jpg,4016934,145分钟,8.4,38.60%,45.60%,14.40%,1.20%,0.30%,公爵（河正宇 饰）为了得到日本贵族秀子小姐（金敏喜 饰）的财产，意欲娶她为妻，而后以其患上精神疾病为由将秀子送入精神病院。为了实现自己的阴谋，公爵将出生于小偷世家的南淑熙（金泰璃 饰）送到秀子的身边担任女佣，如此一来两人里应外合，深闺之中不谙世事的秀子和她的万贯家财根本 就是他们的囊中之物。,107270
29,萤火之森,https://movie.douban.com/subject/5989818/,['大森贵弘'],"['佐仓绫音', '内山昂辉', '辻亲八', '山本兼平', '后藤弘树', '今井麻美']",482998,日语,日本,"['剧情', '爱情', '动画', '奇幻']",2011-09-17(日本),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,2061702,45分钟,8.9,54.80%,34.50%,9.60%,0.80%,0.20%,某年夏天，6岁小女孩竹川萤来到爷爷家度假，她闯进了传说住满妖怪的山神森林。正当她因为迷路而焦急万分的时候，一个戴着狐狸面具的大男孩出现在她面前，并引领着萤找到回家的路。虽然萤分外感激，可是男孩却禁止她碰触自己的身体，原来这名叫银的男孩并非人类，他一旦被人类碰触就会烟消云散。在此后的日子里，萤和银成为好朋友，他们走遍了森林的每一个角落玩耍。日复一日，年复一年，每到夏天的时候萤就会如约来到森林和好朋友见面。她遵守着和银的约定，无论如何也不碰触银的身体。随着年龄的增长，萤和银对彼此的情感都悄悄发生了变化，他们共同期待相聚的日子，共同期待拥抱对方……,107601
30,天才枪手,https://movie.douban.com/subject/27024903/,['纳塔吾·彭皮里亚'],"['茱蒂蒙·琼查容苏因', '查侬·散顶腾古', '依莎亚·贺苏汪', '披纳若·苏潘平佑', '塔内·瓦拉库努娄', '莎琳雷特·托马斯', '伊戈·米基塔斯', '帕辛·宽萨塔彭', '萨哈贾克·波斯安吉特', '坎嘉娜·维耐潘尼', '育塔彭·瓦拉努科洛楚', '诺帕瓦特·里基特王']",674234,泰语 / 英语,泰国,"['剧情', '悬疑', '犯罪']",2017-10-13(中国大陆),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2501863104.jpg,6788942,130分钟,8.2,27.70%,54.10%,16.80%,1.10%,0.30%,影片根据2014年轰动一时的亚洲考场作弊案改编，讲述了天才学霸利用高智商考场作弊牟取暴利的故事。出生平凡的天才少女Lynn（茱蒂蒙·琼查容苏因 饰）在进入贵族学校后，结识了富二代同学Grace（依莎亚·贺苏汪饰）与Pat（披纳若·苏潘平佑饰），从此开始了考场作弊生涯，与此同时，另一名记忆力极佳的天才学霸Bank（查侬·散顶腾古 饰）发现了Lynn不为人知的“交易”。经过多场险象环生的“作弊战争”后，Lynn接下最后一单在国际考场上为富家子弟作弊的天价委托。一场横跨两大洲的完美作弊方案横空出世，然而一切并不像他们想的那么简单……,188008
0,乘风破浪,https://movie.douban.com/subject/26862259/,['韩寒'],"['邓超', '彭于晏', '赵丽颖', '董子健', '金士杰', '易小星', '张本煜', '李荣浩', '高华阳', '李淳', '孙伊涵', '熊黎', '李春嫒', '潘米', '小马达', '金毛期期', '孙启恒', '孙强', '彭菲茗', '贾川西', '张国庆', '程诚', '白珞力', '方励', '郭佳杰', '冷海铭']",549778,汉语普通话,中国大陆,"['剧情', '喜剧']",2017-01-28(中国大陆),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2408407697.jpg,6461514,102分钟,6.8,12.50%,33.20%,40.60%,10.20%,3.50%,赛车手阿浪（邓超 饰）一直对父亲（彭于晏 饰）反对自己的赛车事业耿耿于怀，在向父亲证明自己的过程中，阿浪却意外卷入了一场奇妙的冒险。他在这段经历中结识了一群兄弟好友，一同闯过许多奇幻的经历，也对自己的身世有了更多的了解。,170724
1,菊次郎的夏天,https://movie.douban.com/subject/1293359/,['北野武'],"['北野武', '关口雄介', '岸本加世子', '吉行和子', '细川典江', '大家由祐子', '磨赤儿', '铃木忠幸', '井手博士', '今村鼠', '兼子二郎', '田中要次', '小岛可奈子']",541141,日语,日本,"['剧情', '喜剧']",2020-09-25(中国大陆),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,199683,121分钟,8.9,53.80%,36.50%,8.70%,0.80%,0.20%,暑假到来，自幼丧父的小学三年级学生正男（关口雄介饰），如今和奶奶生活在一起，暑假特别无聊。他拿出母亲从外地寄回的信，准备自己一个人去爱知县丰桥市看望母亲。,140789
